Season,Game Type,Team,#,Name,Position,G,FPCT,PO,A,E,DP,PB,PlayerID
2025,Regular Season,Hokkaido Nippon-Ham Fighters,9,"<a href=""https://proeyekyuu.com/player/?PlayerID=11215118"">Nakashima, Takuya</a>",1B,6,1.000,11,1,0,0,,11215118
2025,Regular Season,Hokkaido Nippon-Ham Fighters,9,"<a href=""https://proeyekyuu.com/player/?PlayerID=11215118"">Nakashima, Takuya</a>",2B,10,1.000,3,3,0,0,,11215118
2025,Regular Season,Hokkaido Nippon-Ham Fighters,9,"<a href=""https://proeyekyuu.com/player/?PlayerID=11215118"">Nakashima, Takuya</a>",3B,2,0.000,0,0,0,0,,11215118
2025,Regular Season,Hokkaido Nippon-Ham Fighters,9,"<a href=""https://proeyekyuu.com/player/?PlayerID=11215118"">Nakashima, Takuya</a>",OF,4,1.000,1,0,0,0,,11215118
2025,Regular Season,Hokkaido Nippon-Ham Fighters,9,"<a href=""https://proeyekyuu.com/player/?PlayerID=11215118"">Nakashima, Takuya</a>",SS,9,0.941,2,14,1,1,,11215118
2025,Climax Series - Final Stage,Fukuoka Softbank Hawks,45,"<a href=""https://proeyekyuu.com/player/?PlayerID=11215132"">Tanigawara, Kenta</a>",C,2,1.000,4,0,0,0,0,11215132
2025,Japan Series,Fukuoka Softbank Hawks,45,"<a href=""https://proeyekyuu.com/player/?PlayerID=11215132"">Tanigawara, Kenta</a>",OF,1,1.000,1,0,0,0,,11215132
2025,Regular Season,Fukuoka Softbank Hawks,45,"<a href=""https://proeyekyuu.com/player/?PlayerID=11215132"">Tanigawara, Kenta</a>",C,23,1.000,88,10,0,1,0,11215132
2025,Regular Season,Fukuoka Softbank Hawks,45,"<a href=""https://proeyekyuu.com/player/?PlayerID=11215132"">Tanigawara, Kenta</a>",OF,10,0.947,18,0,1,0,,11215132
2025,Regular Season,Tohoku Rakuten Golden Eagles,25,"<a href=""https://proeyekyuu.com/player/?PlayerID=11215134"">Tanaka, Kazuki</a>",OF,18,1.000,13,0,0,0,,11215134
2025,Regular Season,Chiba Lotte Marines,38,"<a href=""https://proeyekyuu.com/player/?PlayerID=11215151"">Takabe, Akito</a>",OF,100,0.979,226,3,5,0,,11215151
2025,Regular Season,Tokyo Yakult Swallows,19,"<a href=""https://proeyekyuu.com/player/?PlayerID=11315115"">Ishikawa, Masanori</a>",P,8,0.750,0,3,1,1,,11315115
2025,Regular Season,Hanshin Tigers,34,"<a href=""https://proeyekyuu.com/player/?PlayerID=11315138"">Urushihara, Taisei</a>",P,11,1.000,0,3,0,1,,11315138
2025,Regular Season,Chiba Lotte Marines,41,"<a href=""https://proeyekyuu.com/player/?PlayerID=11315150"">Ichijo, Rikima</a>",P,1,0.000,0,0,0,0,,11315150
2025,Climax Series - Final Stage,Hokkaido Nippon-Ham Fighters,50,"<a href=""https://proeyekyuu.com/player/?PlayerID=11315153"">Isobata, Ryota</a>",OF,3,1.000,3,0,0,0,,11315153
2025,Climax Series - First Stage,Hokkaido Nippon-Ham Fighters,50,"<a href=""https://proeyekyuu.com/player/?PlayerID=11315153"">Isobata, Ryota</a>",OF,2,0.000,0,0,0,0,,11315153
2025,Regular Season,Hokkaido Nippon-Ham Fighters,50,"<a href=""https://proeyekyuu.com/player/?PlayerID=11315153"">Isobata, Ryota</a>",OF,112,0.984,180,1,3,0,,11315153
2025,Regular Season,Saitama Seibu Lions,23,"<a href=""https://proeyekyuu.com/player/?PlayerID=11315159"">Itogawa, Ryota</a>",P,13,1.000,1,3,0,0,,11315159
2025,Regular Season,Hiroshima Toyo Carp,19,"<a href=""https://proeyekyuu.com/player/?PlayerID=11415134"">Tokoda, Hiroki</a>",P,26,1.000,13,35,0,0,,11415134
2025,Regular Season,Saitama Seibu Lions,67,"<a href=""https://proeyekyuu.com/player/?PlayerID=11415138"">Nomura, Daiju</a>",1B,1,1.000,1,0,0,0,,11415138
